source	title	description	url	publishedAt	content	final movie	final topic	Notes	coder 1	coder 2	movie 1	movie 2	topic 1	topic 2
Just Jared	Taylor Swift Will Seemingly Attend Beyonce's Movie Premiere in London - Get the Details	Taylor Swift missed out on an exciting opportunity to support fellow pop icon Beyonce at the premiere of Renaissance: A Film By Beyonce over the weekend, but Swifties are convinced that she’ll be on the red carpet for the movie’s London premiere on Friday (No…	https://www.justjared.com/2023/11/29/taylor-swift-will-seemingly-attend-beyonces-movie-premiere-in-london-get-the-details/	2023-11-30T03:07:09Z	Taylor Swift missed out on an exciting opportunity to support fellow pop icon Beyonce at the premiere of Renaissance: A Film By Beyonce over the weekend, but Swifties are convinced that she’ll be on … [+1117 chars]	Renaissance	Promo							
/FILM	How Donnie Darko And Martin Scorsese Influenced Five Nights At Freddy's	Believe it or not, the star and director of Five Nights at Freddy&amp;#39;s took inspiration from Donnie Darko and Martin Scorsese&amp;#39;s Casino.	https://www.slashfilm.com/1448819/donnie-darko-martin-scorsese-five-nights-at-freddys-success/	2023-11-26T12:45:30Z	Normally, to reach the level of cult status, a film has to gain an underground popularity that breathes new life into a project that may have been otherwise overlooked. But when it comes to "Five Nig… [+1276 chars]	FNAF	Prod							
/FILM	The Marvels Is On Track For One Of The MCU's Lowest Box Office Openings	Bad news for The Marvels: the latest from the Marvel Cinematic Universe looks to be headed towards a less-than-great opening weekend at the box office.	https://www.slashfilm.com/1443945/the-marvels-box-office-opening-weekend/	2023-11-10T21:00:00Z	Even in the most optimistic scenario, an over/under $60 million domestic opening for a movie with a budget well north of $200 million is not good. International ticket sales appear to be similarly so… [+1463 chars]	Marvels	Box							
Just Jared	Leonardo DiCaprio Reacts to Rapping Video, Reveals His Range in Musical Taste as He Nears 50	Leonardo DiCaprio is speaking out about the video of him rapping at his recent 49th birthday party! The Killers of the Flower Moon star was having fun at his star-studded celebration last weekend, took the mic and started rapping. Now, in a new interview, Leo…	https://www.justjared.com/2023/11/16/leonardo-dicaprio-reacts-to-rapping-video-reveals-his-range-in-musical-taste-as-he-nears-50/	2023-11-16T23:43:08Z	Leonardo DiCaprio is speaking out about the video of him rapping at his recent 49th birthday party! The Killers of the Flower Moon star was having fun at his star-studded celebration last weekend, t… [+711 chars]	KOTFM	Promo							
/FILM	The Marvels Star Iman Vellani Talks Working With Kittens, Young Avengers & More [Exclusive Interview]	We spoke with The Marvels star Iman Vellani about working with kittens, teasing the Young Avengers, deleted scenes, and who her own personal Captain Marvel is.	https://www.slashfilm.com/1446432/the-marvels-iman-vellani-interview-kittens-young-avengers-credits-scene/	2023-11-14T18:00:31Z	I have to say, I'm so glad that the actors' strike ended and you were able to talk about this movie. Because after seeing how great you were in it, I was just like, "Man, it would be a total bummer i… [+3204 chars]	Marvels	Promo							
Vanity Fair	Robert De Niro Claims His ‘Killers of the Flower Moon’ Tribute Speech Was Censored	While presenting at the Gothams, De Niro accused Apple and the awards organization for slashing some of his planned remarks from the teleprompter: “How dare they do that, actually?”	https://www.vanityfair.com/hollywood/2023/11/robert-de-niro-claims-his-killers-of-the-flower-moon-tribute-speech-was-censored	2023-11-28T14:20:29Z	Shortly after bdginning his speech at Mondays Gotham Awards in New York City, Robert De Niro appeared flustered by the teleprompteror rather, what was missing from it. The Oscar-winning actor was pr… [+2314 chars]	KOTFM	Box							
Gizmodo.com	Damn, What Does Disney Have Against Nia DaCosta?	The Marvels is likely going to end up one of Marvel Studios’ worst-performing films in a considerable period of time—and at a time when people are largely questioning the direction of a franchise that has dominated cinema for 15 years, that’s not an ideal bit…	https://gizmodo.com/the-marvels-bob-iger-nia-dacosta-mcu-disney-marvel-1851061428	2023-11-30T16:30:00Z	The Marvelsis likely going to end up one of Marvel Studios worst-performing films in a considerable period of timeand at a time when people are largely questioning the direction of a franchise that h… [+4449 chars]	Marvels	Plot							
ComingSoon.net	Trolls Band Together Review: A Merciless Sensory Overload	It’s time for me to do what all rational adult men do: write detailed, in-depth thoughts about Trolls Band Together, an animated jukebox musical comedy movie made for children. As I type these words, my sanity slips even further. Not only because it’s late at…	https://www.comingsoon.net/movies/reviews/1410680-trolls-band-together-review-a-merciless-sensory-overload	2023-11-22T18:00:00Z	Its time for me to do what all rational adult men do: write detailed, in-depth thoughts about Trolls Band Together, an animated jukebox musical comedy movie made for children. As I type these words, … [+5263 chars]	Trolls	Plot							
/FILM	One Of The Most Striking Moments In Napoleon Kind Of Happened, But Not Really	Did The Battle of Austerlitz happen the way it is depicted in Ridley Scott&amp;#39;s new epic Napoleon? Well, not exactly.	https://www.slashfilm.com/1452618/one-of-the-most-striking-moments-in-napoleon-kind-of-happened/	2023-11-23T16:00:13Z	Sure, it'd be easy to criticize "Napoleon" for its historical inaccuracies, but the truth is that Napoleon's mind for logistics and organization isn't very cinematic. Besides, the sight of an army fa… [+1439 chars]	Napoleon	Plot							
Polygon	Godzilla reigns eternal thanks to years of tiny design changes	Apple TV’s Monarch is the latest show to feature a new Godzilla design. But with Minus One in theaters, the design history tells the story of the King of the Monsters.	https://www.polygon.com/23960731/godzilla-monarch-minus-one-tv-show-movie-history	2023-11-16T14:00:00Z	There are few pop culture icons more instantly recognizable than Godzilla and much of that has to do with the fact that, for almost 70 years now, the King of the Monsters has typically been a gargant… [+13520 chars]	Godzilla	Prod							
