source	title	description	url	publishedAt	content	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	Flag for checks		resolution movie	resolution topic	final movie	final topic
Pitchfork	Beyoncé’s Renaissance Movie Tops U.S. Box Office in Its Opening Weekend	In its first weekend, the concert film bested The Hunger Games: The Ballad of Songbirds & Snakes and Godzilla Minus One	https://pitchfork.com/news/beyonces-renaissance-movie-tops-us-box-office-in-its-opening-weekend/	2023-12-03T23:18:18Z	Beyoncés Renaissance movie is the No. 1 movie in the U.S. this weekend, Deadline reports. The film grossed $22 million at the box office this weekend, outperforming The Hunger Games: The Ballad of So… [+1370 chars]	Tristan	Renaissance, HG, Godzilla	Box	Michael	Renaissance, HG, Godzilla	Box			Renaissance, HG, Godzilla		Renaissance, HG, Godzilla	Box
Digital Trends	What’s new on VOD and Digital in December 2023	What's new on VOD and Digital in December 2023? Killers of the Flower Moon, Taylor Swift: The Eras Tour, Trolls Band Together, It’s a Wonderful Knife, and more.	https://www.digitaltrends.com/movies/whats-new-on-vod-and-digital/	2023-12-04T22:00:07Z	Apple TV+ December is a very quiet month for VOD (Video on Demand) and digital releases. Of this month’s titles, only Taylor Swift: The Eras Tour, Trolls Band Together, and Killers of the Flower Moo… [+7314 chars]	Tristan	Trolls, KOTFM	Streaming	Michael	KOTFM, Trolls	Streaming			KOTFM, Trolls		KOTFM, Trolls	Streaming
Gizmodo.com	The Marvels Drama, Fallout TV Show Reveals, and More Top Pop Culture News of the Week	It’s been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at Fallout and Furiosa all made the list of our most read stori…	https://gizmodo.com/top-entertainment-news-fallout-doctor-who-marvel-alien-1851065738	2023-12-02T15:00:00Z	Its been a wild week in the world of sci-fi, fantasy, superheroes, and more genre fare. The return of Doctor Who for its 60th anniversary, burning Mandalorian questions, and our epic first looks at F… [+3679 chars]	Tristan	Marvels	NR	Michael	Marvels	NR					Marvels	NR
The A.V. Club	Beyoncé defeats Godzilla Minus One to claim the weekend box office crown	Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrived to do her part in taking over the theater industry. Renais…	https://www.avclub.com/beyonce-box-office-renaissance-1851069314	2023-12-03T21:18:00Z	Move over superhero movies, the hot new thing in American cinemas is apparently concert films. After Taylor Swift: The Eras Tour made nearly $180 million over the last eight weeks, Beyoncé has arrive… [+1757 chars]	Tristan	Renaissance, Godzilla	Box	Michael	Godzilla	Box	Renaissance not mentioned explicitly		Godzilla	Box	Godzilla	Box
The A.V. Club	The Hunger Games: The Ballad of Songbirds & Snakes: what to watch before the new movie	In the latest episode of Binge Club, our experts tell you everything you need to watch ahead of the newest Hunger Games flick	https://www.avclub.com/the-hunger-games-the-ballad-of-songbirds-snakes-wha-1851022189	2023-11-14T21:34:54Z	In the latest episode of Binge Club, our experts tell you everything you need to watch ahead of the newest Hunger Games flick We may earn a commission from links on this page.	Tristan	HG	Promo	Michael	HG	Promo	Related to opening soon				HG	Promo
The A.V. Club	May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor	After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…	https://www.avclub.com/ballad-of-songbirds-and-snakes-weekend-box-office-1851034814	2023-11-19T22:10:00Z	After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did … [+1551 chars]	Tristan	HG	Box	Michael	HG	Box	the main part of the title mentioned since it was the after : part				HG	Box
The New Yorker	The Mail	Readers respond to Emma Green’s piece about New York’s teacher-certification requirements, Jackson Arn’s review of “Manet/Degas,” and Anthony Lane’s review of “Killers of the Flower Moon.”	https://www.newyorker.com/magazine/2023/11/20/letters-from-the-november-20-2023-issue	2023-11-13T11:00:00Z	Learning to Teach As a masters student in secondary education, at Hunter College, I read with great interest Emma Greens article about a class-action lawsuit that accuses New York City of violating … [+3548 chars]	Tristan	KOTFM	Plot	Michael	KOTFM	Plot					KOTFM	Plot
/FILM	Ridley Scott's Napoleon Rides To A $33 Million Debut At The Thanksgiving Box Office	Napoleon is battling Disney&amp;#39;s Wish for second place at the Thanksgiving box office, as Apple Original Films makes another bid for awards season prestige.	https://www.slashfilm.com/1455013/ridley-scott-napoleon-thanksgiving-box-office/	2023-11-25T19:17:21Z	The film's initial haul is nothing to sneeze at, but it's also still far from recouping its costs: Variety puts the movie's production budget alone at $200 million, making it seem likely that this fi… [+1390 chars]	Tristan	Napoleon, Wish	Box	Michael	KOTFM, Wish	Box			Napoleon, Wish	Box	Napoleon, Wish	Box
Boing Boing	De Niro says Apple censored his award show speech, so he read the original from his phone	On Monday night, Robert De Niro took the stage at the Gotham Awards in New York City to introduce an award for Martin Scorsese's Apple film, Killers of the Flower Moon, which De Niro starred in.     When he looked at the teleprompter, he realized the first pa…	https://boingboing.net/2023/11/29/de-niro-says-apple-censored-his-award-show-speech-so-he-read-the-original-from-his-phone.html	2023-11-29T16:53:25Z	On Monday night, Robert De Niro took the stage at the Gotham Awards in New York City to introduce an award for Martin Scorsese's Apple film, Killers of the Flower Moon, which De Niro starred in.  Wh… [+1650 chars]	Tristan	KOTFM	Awards	Michael	KOTFM	Awards					KOTFM	Awards
Deadline	‘The Hunger Games: Ballad Of Songbirds & Snakes’ Sings Past $100M At Domestic Box Office	Benchmarks we should celebrate as the marketplace looks to rebound after dual strikes that sidelined the box office: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes has crossed the $100M mark at the domestic box office yesterday in its 11th day…	https://deadline.com/2023/11/hunger-games-ballad-of-songbirds-and-snakes-box-office-100m-1235642112/	2023-11-29T03:43:04Z	Benchmarks we should celebrate as the marketplace looks to rebound after dual strikes that sidelined the box office: Lionsgate‘s The Hunger Games: The Ballad of Songbirds &amp; Snakes has crossed the… [+2044 chars]	Tristan	HG	Box	Michael	HG	Box					HG	Box
Gizmodo.com	Godzilla Minus One Is a Terrifying, Hopeful Throwback	Screenshot: Toho Godzilla, and Godzilla movies, has been many things over the past 69 years—the King of All Monsters has changed in character as often as he’s changed in design, from horrifying force of nature to heroic defender of the Earth. It’s fitting th…	https://gizmodo.com/godzilla-minus-one-review-toho-kaiju-1851046649	2023-11-24T21:15:00Z	Godzilla, and Godzilla movies, has been many things over the past 69 yearsthe King of All Monsters has changed in character as often as hes changed in design, from horrifying force of nature to heroi… [+5149 chars]	Tristan	Godzilla	Plot	Michael	Godzilla	Plot					Godzilla	Plot
Yahoo Entertainment	Apple’s latest tvOS beta kills the iTunes Movies and TV shows apps	Apple’s latest tvOS beta suggests the iTunes Movies and TV Shows apps on Apple TV are on their way out. 9to5Mac reports the set-top box’s former home of streaming purchases and rentals is no longer in the tvOS 17.2 release candidate (RC), now available to dev…	https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a6ce7675-a445-4dce-80eb-32d4aad527be	2023-12-06T19:20:56Z	Si vous cliquez sur « Tout accepter », nos partenaires (y compris 241 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]	Tristan	NR		Michael	NR						NR	
Deadline	‘The Hunger Games: The Ballad Of Songbirds & Snakes’ World Premieres As Team Optimistic For More Sequels	Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes had its world premiere at London’s BFI IMAX this evening, with a red carpet that featured director Francis Lawrence and stars Rachel Zegler, Tom Blyth, Hunter Schafer, Josh Andres Rivera and more.…	https://deadline.com/2023/11/the-hunger-games-the-ballad-of-songbirds-and-snakes-world-premiere-1235598133/	2023-11-09T20:44:21Z	Lionsgate’s The Hunger Games: The Ballad of Songbirds &amp; Snakes had its world premiere at London’s BFI IMAX this evening, with a red carpet that featured director Francis Lawrence and stars Rachel… [+3354 chars]	Tristan	HG	Promo	Michael	HG	Promo					HG	Promo
